Time (s),valve_states (),pressure[0] (psi),pressure[1] (psi),pressure[2] (psi),pressure[3] (psi),pressure[4] (psi),pressure[5] (psi),pressure[6] (psi),pressure[7] (psi),pressure[8] (psi),pressure[9] (psi),pressure[10] (psi),pressure[11] (psi),pressure[12] (psi),pressure[13] (psi),pressure[14] (psi),pressure[15] (psi),samplerate (Hz),motor_setpoint[0] (degrees),motor_setpoint[1] (degrees),main_cycle_time (microseconds),motor_cycle_time (microseconds),adc_cycle_time (microseconds),telemetry_cycle_time (microseconds),ebatt (Volts),ibus (Amps),telemetry_rate (Hz),motor_control_gain[0] (),motor_control_gain[1] (),motor_control_gain[2] (),motor_position[0] (),motor_position[1] (),motor_pwm[0] (),motor_pwm[1] (),count1 (),count2 (),count3 (),STATE (),load[0] (lbs),load[1] (lbs),load[2] (lbs),load[3] (lbs),thrust_load (lbs),thermocouple[0] (degC),thermocouple[1] (degC),thermocouple[2] (degC),thermocouple[3] (degC),ivlv[0] (Amps),ivlv[1] (Amps),ivlv[2] (Amps),ivlv[3] (Amps),ivlv[4] (Amps),ivlv[5] (Amps),ivlv[6] (Amps),ivlv[7] (Amps),ivlv[15] (Amps),evlv[0] (Volts),evlv[1] (Volts),evlv[2] (Volts),evlv[3] (Volts),evlv[4] (Volts),evlv[5] (Volts),evlv[6] (Volts),evlv[7] (Volts),evlv[8] (Volts),evlv[9] (Volts),evlv[10] (Volts),evlv[11] (Volts),evlv[12] (Volts),evlv[13] (Volts),evlv[14] (Volts),evlv[15] (Volts),LOG_TO_AUTO (),auto_states ()
154.471933,128,23,0,-2,5,758,712,-199,-199,598,889,715,878,-310,-310,-310,-310,100,0,0,4,9946,9912,9913,12.49,0.91,100,2000,30,0,0.371,0.827,4297,-2840,0,-140,168,6,-1.5,-2,-3.5,-3.5,-10.5,1023,2047,2047,2047,0.02,0.02,0.04,0.05,0.05,0.07,0.17,0.09,0.03,0.02,0.01,0,0,0.03,0.07,0.05,12.22,0.18,6.22,6.18,6.19,6.16,6.2,7,0,-1,1
154.4906897,128,29,-1,-1,2,757,712,-199,-199,599,889,715,878,-310,-310,-310,-310,100,0,0,2,9948,9911,9912,12.421,0,100,2000,30,0,0.208,0.669,4226,-2527,0,-139,144,6,-2,-3.5,-4,-3,-12.5,1023,2047,2047,2047,0.02,0.03,0.04,0.05,0.06,0.07,0.17,0.09,0.03,0.02,0.01,0,0,0.03,0.07,0.05,12.22,0.18,6.23,6.18,6.19,6.16,6.2,7,0,-1,1
154.4965449,128,30,0,-2,1,758,713,-199,-199,599,889,715,878,-310,-310,-310,-310,100,0,0,4,9946,9911,9911,12.398,0,100,2000,30,0,0.128,0.342,4546,-2822,0,-138,-157,6,4,-3,-3.5,-2,-4.5,1023,2047,2047,2047,0.02,0.03,0.04,0.05,0.06,0.07,0.17,0.09,0.03,0.02,0.01,0,0,0.03,0.07,0.05,12.22,0.18,6.23,6.19,6.19,6.16,6.2,7,0,-1,1
154.508887,128,33,0,-2,2,758,713,-199,-199,599,889,716,878,-310,-310,-310,-310,100,0,0,4,9948,9912,9913,12.405,0,100,2000,30,0,-0.04,-0.334,4701,-3466,0,-138,-327,6,-1.5,-3,-5,-2,-11.5,1023,2047,2047,2047,0.02,0.03,0.04,0.05,0.06,0.07,0.18,0.09,0.03,0.02,0.01,0,0,0.03,0.07,0.06,12.21,0.18,6.23,6.18,6.19,6.16,6.2,7,0,-1,1
154.5231279,128,36,0,-2,1,757,713,-198,-199,598,889,715,878,-310,-310,-310,-310,100,0,0,3,9947,9911,9912,12.428,0,100,2000,30,0,-0.437,-0.284,5040,-4830,0,-138,-676,6,-2.5,-4,-4.5,-1,-12,1023,2047,2047,2047,0.02,0.03,0.04,0.05,0.06,0.07,0.17,0.09,0.03,0.02,0.01,0.01,0,0.03,0.07,0.05,12.26,0.18,6.22,6.18,6.19,6.16,6.2,7,0,-1,1
154.534857,128,35,0,-2,2,757,713,-199,-199,598,889,716,878,-310,-310,-310,-310,100,0,0,4,9947,9913,9911,12.444,0,100,2000,30,0,-0.805,-0.005,5849,-4738,0,-139,50,6,-2.5,-1.5,-5,-2.5,-11.5,1023,2047,2047,2047,0.02,0.03,0.04,0.05,0.06,0.06,0.18,0.09,0.03,0.03,0.01,0,0,0.03,0.06,0.06,12.18,0.19,6.22,6.18,6.18,6.16,6.2,7,0,-1,1
154.5469039,128,37,0,-2,1,757,712,-199,-199,598,888,716,878,-310,-310,-310,-310,100,0,0,4,9946,9913,9913,12.438,0.08,100,2000,30,0,-0.213,-0.09,6607,-4182,0,-139,278,6,-2,-3,-3.5,-2.5,-11,1023,2047,2047,2047,0.02,0.02,0.04,0.05,0.06,0.07,0.17,0.09,0.03,0.03,0.01,0,0,0.03,0.07,0.05,12.19,0.19,6.23,6.16,6.16,6.14,6.18,6.98,0,-1,1
154.5555691,128,48,0,-1,5,757,712,-199,-199,597,889,715,878,-310,-310,-310,-310,100,0,0,4,9947,9912,9911,12.444,0.06,100,2000,30,0,-0.328,-0.065,5432,-4353,0,-139,-84,6,-3.5,-3.5,-4,-3,-14,1023,2047,2047,2047,0.02,0.03,0.04,0.05,0.06,0.06,0.18,0.09,0.03,0.02,0.01,0,0,0.03,0.06,0.06,12.2,0.19,6.26,6.16,6.17,6.14,6.18,6.98,0,-1,1
154.569254,128,55,0,-2,4,757,712,-199,-199,598,889,714,878,-310,-310,-310,-310,100,0,0,4,9948,9912,9912,12.431,3.5,100,2000,30,0,-0.129,-0.09,5670,-4305,0,-139,24,6,-2.5,-3,-3.5,-3,-12,1023,2047,2047,2047,0.02,0.02,0.04,0.05,0.06,0.07,0.17,0.09,0.03,0.02,0.01,0,0,0.03,0.06,0.06,12.21,0.18,6.2,6.16,6.17,6.15,6.19,6.99,0,-1,1
154.5750007,128,64,0,-2,0,757,713,-199,-199,599,889,716,878,-310,-310,-310,-310,100,0,0,2,9947,9911,9911,12.438,2.79,100,2000,30,0,-0.213,0.247,5277,-4358,0,-139,-24,6,-3,-3.5,-4,-3,-13.5,1023,2047,2047,2047,0.02,0.03,0.04,0.05,0.05,0.07,0.17,0.09,0.03,0.02,0.01,0,0,0.03,0.07,0.05,12.22,0.18,6.21,6.17,6.17,6.15,6.19,6.99,0,-1,1
154.5890261,128,68,0,-2,4,758,712,-199,-199,599,889,716,877,-310,-310,-310,-310,100,0,0,4,9948,9911,9912,12.431,1.94,100,2000,30,0,-0.129,0.078,5452,-3675,0,-139,337,6,-2.5,-2,-3,-1.5,-9,1023,2047,2047,2047,0.02,0.03,0.04,0.05,0.06,0.07,0.18,0.09,0.03,0.02,0.01,0,0,0.03,0.06,0.05,12.22,0.18,6.22,6.17,6.18,6.16,6.2,7,0,-1,1
154.5950016,128,73,0,-1,1,757,713,-199,-199,598,888,715,878,-310,-310,-310,-310,100,0,0,2,9947,9912,9914,12.428,0.93,100,2000,30,0,-0.099,0.053,5287,-4010,0,-138,-168,6,-2,-2.5,-5,-2.5,-12,1023,2047,2047,2047,0.02,0.03,0.04,0.05,0.06,0.07,0.18,0.09,0.03,0.01,0.01,0,0,0.03,0.07,0.06,12.22,0.19,6.22,6.18,6.19,6.16,6.2,7,0,-1,1
154.6050812,128,72,0,-2,1,757,712,-199,-199,597,890,714,879,-310,-310,-310,-310,100,0,0,4,9946,9911,9910,12.369,0,100,2000,30,0,-0.04,0.173,5230,-4058,0,-138,-24,6,-2,-3,-5.5,-3,-13.5,1023,2047,2047,2047,0.02,0.03,0.04,0.05,0.06,0.07,0.18,0.09,0.03,0.01,0.01,0,0,0.03,0.07,0.05,12.22,0.18,6.23,6.18,6.19,6.16,6.2,7,0,-1,1
154.6165124,128,77,0,-1,2,757,714,-199,-199,598,889,716,878,-310,-310,-310,-310,100,0,0,3,9947,9913,9913,12.369,0,100,2000,30,0,-0.403,-0.13,5112,-3814,0,-138,119,6,-2,-3.5,-4.5,-3,-13,1023,2047,2047,2047,0.02,0.02,0.04,0.05,0.05,0.06,0.17,0.09,0.03,0.01,0.01,0,0,0.03,0.06,0.05,12.22,0.18,6.23,6.18,6.19,6.16,6.2,7,0,-1,1
154.6209481,128,72,0,-2,2,758,714,-198,-199,599,889,716,878,-310,-310,-310,-310,100,0,0,2,9947,9912,9911,12.412,0,100,2000,30,0,-0.547,-0.503,5851,-4425,0,-138,-303,6,-3,-4,-5.5,-3,-15.5,1023,2047,2047,2047,0.02,0.03,0.04,0.05,0.06,0.07,0.18,0.09,0.03,0.01,0.01,0,0,0.03,0.07,0.05,12.22,0.18,6.22,6.18,6.19,6.16,6.2,7,0,-1,1
